Model,Train Accuracy,Test Accuracy,Precision,Recall,F1-Score,AUC-ROC,CI Lower,CI Upper,Training Time (s),Rank
LightGBM,0.999932083672915,0.9979041497834288,0.997557003257329,0.9983700081499592,0.9979633401221996,0.9999543577272525,0.9968446152945333,0.9989636842723243,3.7899680137634277,1
SVM,0.9984718826405868,0.997624703087886,0.99728555917481,0.9980983428416191,0.9976917854718262,0.9999222361962605,0.996496900434259,0.998752505741513,105.55101537704468,2
XGBoost,0.9982681336593318,0.9969260863490289,0.996202874966097,0.997826677533279,0.997014115092291,0.9999182112355645,0.9956435553388447,0.9982086173592131,6.589112997055054,3
Naive Bayes,0.9609481119261071,0.9639513762749755,0.9631935047361299,0.9668568323825047,0.9650216919739696,0.9754889272158933,0.9596325824575074,0.9682701700924436,0.2345108985900879,4
Isolation Forest,0.5045759396395137,0.5067765823669135,0.6083213773314203,0.11518609073621298,0.1936957514846962,0.0,0.49519359251047135,0.5183595722233556,0.8510243892669678,5
